user_id,login_ts,device_id,ip_address,os,login_success,auth_method
U00311,2026-01-01 06:02:45,DV00311,GB.240.26.7,iOS,1,biometric
U00645,2026-01-01 06:04:07,DV00645,GB.70.96.7,Android,1,pin
U00722,2026-01-01 06:20:38,DV00722,GB.31.223.87,iOS,1,biometric
U00101,2026-01-01 06:32:17,DV00101,GB.84.92.170,Android,1,pin
U00529,2026-01-01 06:32:35,DV00529,US.187.185.159,iOS,1,password
U00118,2026-01-01 06:44:23,DV00118,GB.177.102.37,Android,1,pin
U00423,2026-01-01 06:46:34,DV00423,DE.182.115.219,iOS,1,biometric
U00370,2026-01-01 06:48:12,DV00370,GB.115.201.247,Android,1,biometric
U00514,2026-01-01 06:52:08,DV00514,GB.242.195.85,Android,1,biometric
U00447,2026-01-01 07:23:17,DV00447,US.52.232.204,iOS,1,biometric
U00265,2026-01-01 07:29:09,DV00265,GB.60.92.143,iOS,1,password
U00106,2026-01-01 07:29:47,DV00106,US.44.65.5,iOS,1,pin
U00412,2026-01-01 07:32:08,DV00412,GB.21.126.98,Android,1,password
U00278,2026-01-01 07:32:31,DV00278,GB.249.224.254,iOS,1,biometric
U00562,2026-01-01 07:33:24,DV00562,US.71.119.243,Android,1,password
U00165,2026-01-01 08:00:46,DV00165,GB.57.106.53,iOS,1,password
U00326,2026-01-01 08:10:22,DV00326,GB.31.70.249,Android,1,password
U00408,2026-01-01 08:26:01,DV00408,DE.228.29.180,Android,1,pin
U00398,2026-01-01 08:29:32,DV00398,GB.120.187.134,iOS,1,password
U00436,2026-01-01 08:30:03,DV00436,GB.185.235.218,Android,1,password
U00721,2026-01-01 08:34:12,DV00721,GB.81.168.111,Android,1,pin
U00541,2026-01-01 08:36:45,DV00541,GB.76.91.159,iOS,1,password
U00179,2026-01-01 08:40:30,DV00179,DE.108.107.145,Android,1,password
U00114,2026-01-01 09:07:45,DV00114,US.102.161.133,Android,1,biometric
U00725,2026-01-01 09:12:03,DV00725,DE.190.83.62,iOS,1,biometric
U00095,2026-01-01 09:20:58,DV00095,US.104.234.60,iOS,1,pin
U00733,2026-01-01 09:30:27,DV00733,GB.55.80.106,Android,1,password
U00704,2026-01-01 09:42:23,DV00704,DE.229.229.221,Android,1,pin
U00696,2026-01-01 09:52:24,DV00696,GB.94.38.203,Android,1,password
U00042,2026-01-01 10:20:40,DV00042,GB.165.72.142,Android,1,password
U00633,2026-01-01 10:23:33,DV00633,DE.63.127.144,iOS,1,password
U00350,2026-01-01 10:42:42,DV00350,GB.112.104.100,Android,1,biometric
U00054,2026-01-01 10:43:53,DV00054,US.232.60.63,Android,1,pin
