recipient_id,created_ts,receive_country,payout_method,account_masked
R00001,2026-02-07 16:17:15,KE,bank,***6312
R00002,2026-03-12 21:16:00,NG,bank,***9851
R00003,2026-03-06 15:25:27,NG,bank,***4714
R00004,2026-03-29 21:05:21,NG,bank,***9446
R00005,2026-02-04 18:10:07,NG,bank,***1053
R00006,2026-01-11 22:22:26,UG,mtn_momo,***2332
R00007,2026-03-01 07:33:27,UG,airtel_money,***3860
R00008,2026-03-04 11:59:25,UG,airtel_money,***2064
R00009,2026-02-22 22:07:43,UG,mtn_momo,***4286
R00010,2026-02-06 09:14:40,TZ,tigopesa,***4843
R00011,2026-03-11 17:04:33,UG,mtn_momo,***8251
R00012,2026-01-04 17:30:29,TZ,mpesa,***4172
R00013,2026-03-10 09:58:04,GH,bank,***7122
R00014,2026-03-16 11:26:53,GH,mtn_momo,***1515
R00015,2026-02-11 09:47:20,GH,bank,***7288
R00016,2026-01-27 11:51:39,NG,bank,***9758
R00017,2026-03-13 22:12:43,TZ,mpesa,***7240
R00018,2026-02-12 09:07:49,GH,bank,***6081
R00019,2026-02-10 08:33:45,GH,mtn_momo,***9600
R00020,2026-02-25 08:44:05,NG,bank,***5282
R00021,2026-01-14 13:16:00,GH,bank,***7507
R00022,2026-01-06 14:06:40,GH,bank,***9394
R00023,2026-03-01 21:09:07,GH,mtn_momo,***8635
R00024,2026-01-11 20:23:40,GH,bank,***6534
R00025,2026-03-19 09:09:06,GH,bank,***3747
R00026,2026-01-03 19:35:14,NG,bank,***6674
R00027,2026-03-17 09:35:55,TZ,tigopesa,***5829
R00028,2026-01-16 11:34:43,TZ,tigopesa,***2825
R00029,2026-03-11 09:25:18,UG,mtn_momo,***5366
R00030,2026-02-18 11:29:45,KE,mpesa,***9020
R00031,2026-01-26 13:31:56,NG,bank,***3118
R00032,2026-01-15 15:43:27,UG,mtn_momo,***6955
R00033,2026-01-25 16:51:02,NG,bank,***6391
R00034,2026-03-01 11:18:22,NG,bank,***9031
R00035,2026-02-20 18:21:30,NG,bank,***5731
R00036,2026-03-15 10:26:10,TZ,mpesa,***6839
R00037,2026-01-08 08:42:42,NG,bank,***4448
R00038,2026-02-08 14:28:04,NG,bank,***4302
R00039,2026-03-20 06:26:11,NG,bank,***8781
R00040,2026-03-11 14:48:10,KE,bank,***7833
R00041,2026-03-19 17:55:41,KE,mpesa,***3280
R00042,2026-03-17 22:10:29,TZ,tigopesa,***2675
R00043,2026-02-26 11:28:23,TZ,tigopesa,***9919
R00044,2026-01-09 07:33:13,KE,bank,***9808
R00045,2026-02-15 16:45:07,KE,bank,***6141
R00046,2026-01-26 18:33:58,KE,mpesa,***5103
R00047,2026-01-29 15:20:37,KE,mpesa,***5904
R00048,2026-03-28 15:40:25,KE,bank,***1187
R00049,2026-01-12 15:50:03,UG,airtel_money,***2355
R00050,2026-03-09 17:08:05,NG,bank,***2061
R00051,2026-02-12 06:18:07,UG,airtel_money,***2841
R00052,2026-02-19 07:40:46,NG,bank,***8213
R00053,2026-01-14 14:28:01,KE,bank,***2120
R00054,2026-02-22 17:47:42,KE,mpesa,***3193
R00055,2026-01-28 08:23:25,GH,mtn_momo,***8171
R00056,2026-03-27 08:32:41,GH,bank,***1762
R00057,2026-01-04 16:47:01,GH,bank,***8958
R00058,2026-02-15 14:07:14,GH,bank,***2668
R00059,2026-03-15 09:40:09,GH,mtn_momo,***4950
R00060,2026-02-18 18:28:46,GH,bank,***5866
R00061,2026-03-01 20:18:52,GH,bank,***1834
R00062,2026-02-16 19:26:03,NG,bank,***6138
R00063,2026-02-27 06:37:28,GH,bank,***3002
R00064,2026-02-21 13:26:11,UG,mtn_momo,***6945
R00065,2026-02-06 18:23:21,UG,mtn_momo,***6380
R00066,2026-01-05 21:22:56,UG,mtn_momo,***1273
R00067,2026-02-20 09:13:28,TZ,mpesa,***3864
R00068,2026-01-01 09:00:12,TZ,mpesa,***4064
R00069,2026-03-13 13:42:58,TZ,mpesa,***5140
