transaction_id,user_id,recipient_id,created_ts,send_amount,send_currency,receive_amount,receive_currency,fx_rate,fee_amount,payment_method,payout_method,device_id,ip_address,status,decline_reason
T0006626,U00311,R00632,2026-01-01 06:03:45,46.73,GBP,222817.18,UGX,4767.959,0.5,google_pay,mtn_momo,DV00311,GB.209.89.240,completed,
T0014204,U00645,R01292,2026-01-01 06:13:07,228.75,GBP,37953.45,KES,165.9148,2.29,debit_card,mpesa,DV00645,GB.216.181.218,completed,
T0015784,U00722,R01455,2026-01-01 06:29:38,170.78,GBP,3200.72,GHS,18.7414,1.71,debit_card,bank,DV00722,GB.249.252.188,completed,
T0011544,U00529,R01072,2026-01-01 06:38:35,172.9,USD,639028.09,UGX,3695.8511,1.73,apple_pay,mtn_momo,DV00529,US.160.140.82,completed,
T0002059,U00101,R00211,2026-01-01 06:40:17,134.9,GBP,449274.95,TZS,3330.5228,1.35,google_pay,mpesa,DV00101,GB.85.214.164,completed,
T0009222,U00423,R00874,2026-01-01 06:47:34,242.28,EUR,983455.61,UGX,4059.1477,2.42,debit_card,airtel_money,DV00423,DE.173.23.119,completed,
T0002441,U00118,R00252,2026-01-01 06:50:23,130.43,GBP,21799.74,KES,167.1387,1.3,debit_card,bank,DV00118,GB.213.60.35,completed,
T0007937,U00370,R00758,2026-01-01 06:54:12,158.12,GBP,523361.04,TZS,3309.841,1.58,debit_card,tigopesa,DV00370,GB.107.80.222,completed,
T0011290,U00514,R01048,2026-01-01 06:56:08,64.04,GBP,1233.72,GHS,19.2649,0.64,debit_card,mtn_momo,DV00514,GB.118.243.93,completed,
T0009808,U00447,R00918,2026-01-01 07:31:17,545.1,USD,8136.79,GHS,14.9272,5.45,debit_card,bank,DV00447,US.9.178.190,completed,
T0005633,U00265,R00538,2026-01-01 07:35:09,252.0,GBP,1190087.82,UGX,4722.4818,2.52,google_pay,airtel_money,DV00265,GB.248.150.173,completed,
T0012387,U00562,R01133,2026-01-01 07:35:24,99.2,USD,260305.35,TZS,2624.0721,0.99,debit_card,mpesa,DV00562,US.42.24.184,completed,
T0005861,U00278,R00562,2026-01-01 07:37:31,313.4,GBP,587192.41,NGN,1873.6057,3.13,debit_card,bank,DV00278,GB.72.10.2,completed,
T0002179,U00106,R00222,2026-01-01 07:38:47,125.57,USD,460113.28,UGX,3664.3294,1.26,debit_card,airtel_money,DV00106,US.124.86.19,completed,
T0008948,U00412,R00860,2026-01-01 07:41:08,88.05,GBP,292677.77,TZS,3324.1743,0.88,debit_card,mpesa,DV00412,GB.63.251.166,completed,
T0003558,U00165,R00344,2026-01-01 08:01:46,163.14,GBP,3113.4,GHS,19.0836,1.63,apple_pay,mtn_momo,DV00165,GB.112.216.145,completed,
T0006914,U00326,R00665,2026-01-01 08:13:22,272.04,GBP,1288752.26,UGX,4737.4497,2.72,bank_transfer,mtn_momo,DV00326,GB.99.160.3,completed,
T0008621,U00398,R00828,2026-01-01 08:30:32,299.01,GBP,566079.08,NGN,1893.1493,2.99,debit_card,bank,DV00398,GB.133.135.44,completed,
T0008865,U00408,R00849,2026-01-01 08:31:01,86.0,EUR,344366.29,UGX,4004.4912,0.86,bank_transfer,mtn_momo,DV00408,DE.199.224.217,completed,
T0009528,U00436,R00898,2026-01-01 08:32:03,215.73,GBP,719186.14,TZS,3333.7208,2.16,debit_card,mpesa,DV00436,GB.247.13.249,completed,
T0015736,U00721,R01453,2026-01-01 08:36:12,188.35,GBP,614943.04,TZS,3264.9356,1.88,apple_pay,mpesa,DV00721,GB.18.72.227,completed,
T0011844,U00541,R01093,2026-01-01 08:37:45,141.96,GBP,23240.55,KES,163.7086,1.42,debit_card,mpesa,DV00541,GB.189.231.145,completed,
T0003792,U00179,R00376,2026-01-01 08:43:30,208.27,EUR,342958.05,NGN,1646.7243,2.08,bank_transfer,bank,DV00179,DE.151.5.68,completed,
T0002334,U00114,R00242,2026-01-01 09:08:45,179.84,USD,271338.08,NGN,1508.7972,1.8,debit_card,bank,DV00114,US.26.130.38,completed,
T0015820,U00725,R01462,2026-01-01 09:17:03,173.67,EUR,286772.02,NGN,1651.202,1.74,debit_card,bank,DV00725,DE.90.188.168,completed,
T0001897,U00095,R00198,2026-01-01 09:29:58,292.07,USD,37739.82,KES,129.2148,2.92,debit_card,mpesa,DV00095,US.35.133.157,completed,
T0016031,U00733,R01478,2026-01-01 09:36:27,157.24,GBP,296678.04,NGN,1886.7635,1.57,apple_pay,bank,DV00733,GB.224.35.199,completed,
T0015380,U00704,R01417,2026-01-01 09:47:23,101.97,EUR,168422.73,NGN,1651.6655,1.02,debit_card,bank,DV00704,DE.26.236.88,completed,
T0015240,U00696,R01402,2026-01-01 09:55:24,220.13,GBP,35953.99,KES,163.3309,2.2,apple_pay,mpesa,DV00696,GB.3.7.159,completed,
T0013939,U00633,R01270,2026-01-01 10:26:33,210.21,EUR,341703.06,NGN,1625.5056,2.1,debit_card,bank,DV00633,DE.52.240.120,completed,
