user_id,signup_ts,residence_country,birth_year,kyc_level,kyc_verified_ts,signup_channel,phone_country
U00000,2024-04-23,US,2001,full,2024-04-27,ios_app,US
U00001,2025-06-05,DE,2002,full,2025-06-05,android_app,DE
U00002,2023-12-27,GB,1977,full,2023-12-30,ios_app,GB
U00003,2025-05-10,GB,1988,full,2025-05-12,android_app,GB
U00004,2025-02-22,US,2005,basic,2025-02-26,android_app,US
U00005,2025-08-02,GB,1983,full,2025-08-02,ios_app,GB
U00006,2023-12-21,DE,1990,full,2023-12-22,ios_app,DE
U00007,2024-10-06,GB,1968,full,2024-10-06,ios_app,GB
U00008,2024-10-13,GB,1965,full,2024-10-16,ios_app,GB
U00009,2025-08-07,DE,1972,full,2025-08-09,android_app,DE
U00010,2024-10-27,US,1968,full,2024-10-30,android_app,US
U00011,2024-09-27,GB,1991,basic,2024-09-29,ios_app,GB
U00012,2025-06-05,GB,1971,full,2025-06-07,web,GB
U00013,2025-01-19,US,1983,full,2025-01-22,android_app,US
U00014,2024-08-10,GB,1983,basic,2024-08-10,ios_app,GB
U00015,2024-12-29,DE,2004,full,2024-12-30,ios_app,DE
U00016,2025-10-01,DE,1992,basic,2025-10-05,web,DE
U00017,2023-12-01,DE,2004,basic,2023-12-03,ios_app,DE
U00018,2025-05-18,DE,1987,basic,2025-05-19,android_app,DE
U00019,2023-10-28,US,1967,full,2023-10-29,ios_app,US
U00020,2023-08-13,GB,2000,full,2023-08-16,ios_app,GB
U00021,2024-08-22,US,1967,full,2024-08-22,ios_app,US
U00022,2024-12-17,GB,2004,full,2024-12-20,android_app,GB
U00023,2024-12-06,DE,1992,full,2024-12-07,android_app,DE
U00024,2023-10-10,GB,1986,full,2023-10-13,ios_app,GB
U00025,2023-10-05,DE,1977,full,2023-10-05,android_app,DE
U00026,2023-11-30,GB,1982,full,2023-12-04,android_app,GB
U00027,2025-12-10,US,2004,full,2025-12-12,ios_app,US
U00028,2023-10-05,GB,1979,basic,2023-10-06,web,GB
U00029,2025-02-18,US,2005,full,2025-02-19,web,US
U00030,2025-06-26,GB,2005,full,2025-06-30,android_app,GB
U00031,2024-09-15,US,1988,full,2024-09-17,android_app,US
U00032,2024-03-27,GB,2002,basic,2024-03-28,android_app,GB
U00033,2024-12-05,DE,1995,full,2024-12-06,android_app,DE
U00034,2025-08-25,US,1990,full,2025-08-26,ios_app,US
U00035,2025-03-01,GB,1971,basic,2025-03-01,web,GB
U00036,2024-07-13,US,1969,full,2024-07-17,android_app,US
U00037,2024-10-22,US,1980,full,2024-10-23,ios_app,US
U00038,2024-12-21,US,1991,basic,2024-12-24,ios_app,US
U00039,2025-10-28,US,1993,full,2025-11-01,ios_app,US
U00040,2024-04-14,DE,1997,full,2024-04-18,web,DE
U00041,2024-09-13,GB,1971,basic,2024-09-13,ios_app,GB
U00042,2023-08-30,GB,1972,full,2023-08-31,android_app,GB
U00043,2025-11-18,GB,1969,basic,2025-11-21,ios_app,GB
U00044,2023-11-20,DE,1987,full,2023-11-22,android_app,DE
U00045,2024-05-16,GB,1996,basic,2024-05-18,android_app,GB
U00046,2023-10-13,DE,2000,basic,2023-10-15,ios_app,DE
U00047,2025-02-24,GB,1977,full,2025-02-27,ios_app,GB
